CELL_LINE_NAME	n	nearest_train_cosine	mae	rmse	mean_prediction_std	mean_signed_error
sudhl6	15	0.9328858852386475	0.9125003179778666	1.0854089760222558	0.65661895	-0.7775448887367619
a204	16	0.9329511523246765	0.7429030155920076	0.8507698062065474	0.49709016	-0.6623421764297737
loximvi	14	0.9329683780670166	0.44373668595268184	0.5851518774833152	0.654695	-0.38104155895146763
ht1197	16	0.932974100112915	0.5499038069049476	0.7068529289797851	0.6269634	-0.10141386742959851
hcc1569	16	0.9330094456672668	0.5665303807926205	0.7839340969107352	0.8541946	-0.024467203931444415
scc9	12	0.9330356121063232	0.6907719699875011	0.870333243652602	0.6300842	-0.6125842898362356
skbr3	15	0.9330469369888306	0.7412537954871856	1.0003007367461676	0.5192992	-0.6605318094267444
reh	15	0.933074951171875	0.40493573427200313	0.5627648398163189	0.8565228	-0.23689779361089064
sudhl4	15	0.9331031441688538	0.8204098975161379	0.9859890162596323	0.5835313	-0.7216138710931652
sngm	15	0.9331042766571045	0.37614466905593874	0.5040011422221872	0.9261586	-0.12123514636357614
chp212	13	0.9331170916557312	0.7206207170687525	0.929684381271186	0.5588512	-0.7206207170687525
allsil	16	0.9331498742103577	1.0070538817547723	1.3472908492056486	0.6396546	-0.6323262086994959
hct15	16	0.9331782460212708	0.42546411857008937	0.6470125499758336	0.92675424	-0.22940116301178926
rl952	15	0.9332220554351807	0.6341054443170628	0.8082046976930434	0.82429427	-0.3657491937826079
chl1	16	0.9332638382911682	0.6392900084841489	0.8341964050184355	0.7911105	-0.4575440343399724
scc25	11	0.9333224892616272	0.7012005303691332	0.8481915700734729	0.51603836	-0.22367757648378223
hupt3	16	0.9333397746086121	0.6048667383717368	0.7058801152469257	0.6226168	-0.5482745242098153
igrov1	15	0.9333426356315613	0.4674436831474304	0.5954736790568842	0.8690226	-0.2530569504102072
5637	16	0.9333720207214355	0.824099792260659	0.975073447259422	0.651912	-0.6895055835301247
g401	16	0.9333767294883728	0.6912881121638048	0.8701937891038274	0.5469636	-0.6576679154344741
rt112	15	0.9334275722503662	0.7021261095996584	0.8345295558612982	0.5260718	-0.6908786543432723
ovtoko	15	0.9334585666656494	0.6223541735906917	0.7534142065134884	0.5941576	-0.18358777138566892
ludlu1	15	0.9334694743156433	0.7487167690713458	0.8568597070486585	0.4567753	-0.653921042059176
hs294t	16	0.933470606803894	0.5115201777474202	0.6815501984391429	0.7361877	-0.36069896077906827
cal27	14	0.9334961175918579	0.769137693371115	0.945533202294431	0.63046426	-0.753910221290517
sudhl8	15	0.9335030317306519	0.8102691757804813	1.0125045473973313	0.6189131	-0.7301612013574602
panc0203	16	0.933505117893219	0.7932984650711407	0.9532593464751801	0.48334232	-0.7932984650711407
an3ca	15	0.9335889220237732	0.3243010397638592	0.42392392714395327	0.8713138	-0.1702486242339725
granta519	16	0.9336256384849548	0.8934830141088481	1.076003907034511	0.49983886	-0.7975525213007436
skmm2	15	0.9336405396461487	0.8318820590334595	0.9336167944109697	0.6134874	-0.6434250959901266
monomac1	16	0.9336461424827576	1.2599036170353184	1.4368264479777795	0.52322817	-1.1614452727767564
hec151	16	0.9336745738983154	0.5988933582603931	0.7955584746013015	0.93864596	-0.5843910931050776
az521	16	0.933759868144989	0.7615890456103547	0.9397068808132707	0.17823687	-0.6860215443145966
769p	16	0.933763861656189	0.5096456081993305	0.6083215106696244	0.497037	-0.3824733903494081
mfe296	13	0.9338088035583496	0.584739691716064	0.8012557582400667	0.73173904	-0.4591389361345749
kns81	16	0.9338138103485107	0.5840898491280326	0.7443426016754057	0.5334047	-0.4356211139238436
molt16	16	0.933815062046051	0.7788785258624327	0.9992054073363137	0.7868932	-0.5847367731425537
697	16	0.9338238835334778	0.8072979594119817	0.9969570654030855	0.5527637	-0.6619722541803905
wm1799	15	0.933830976486206	0.6684098192310065	0.8118698190879339	0.6135216	-0.5010233227485437
c32	16	0.9338818788528442	0.6127202657365292	0.6484960710961855	0.7079839	-0.5209593924970836
messa	15	0.9338939785957336	0.5720260260800366	0.6729564226550374	0.61594886	-0.4228677804388512
bcpap	16	0.9339146614074707	0.6972634540967393	0.969353730007104	0.6241173	-0.409791091846297
22rv1	16	0.9339250922203064	0.6670911493186839	0.8676960142494013	0.7693726	-0.5279216953401453
snu398	12	0.9339352250099182	0.5263994404851601	0.6972616825934821	0.5892574	-0.2277141320854943
uacc62	12	0.9340068697929382	0.7957626969097285	1.0371390042937012	0.623006	-0.7957626969097285
