subgroup_type	subgroup_label	n	raw_interval_coverage_90	conformal_interval_coverage_90	raw_mean_interval_width_90	conformal_mean_interval_width_90	mae	mean_signed_error
potency_bin	6.5-7.5	1100	0.7090909090909091	0.49272727272727274	2.134408104202964	1.2650091613265368	0.8441863417844001	-0.7203580655980465
potency_bin	5.5-6.5	862	0.6740139211136891	0.45127610208816704	2.123149270814975	1.2511857388444163	0.7676071758252773	-0.6624683653036719
potency_bin	>7.5	524	0.5	0.24236641221374045	2.347360971752014	1.4364419217665572	1.1134016908936828	-1.1131264979413449
tissue	UNKNOWN	1824	0.7143640350877193	0.47423245614035087	1.8634898118609398	1.0967251695875373	0.6588832608500674	-0.5119227384219456
tissue	Haematopoietic and Lymphoid Tissue	743	0.721399730820996	0.48721399730820997	1.9673907141987117	1.1724052369619038	0.7212983381067796	-0.5394870591979972
tissue	Lung	405	0.7753086419753087	0.5012345679012346	1.7975305100723549	1.0692708093539158	0.6209889644054541	-0.436126908463764
tissue	Breast	382	0.7303664921465969	0.468586387434555	1.8942609886536421	1.1200979712039596	0.6829827138605008	-0.4714369175965871
tissue	Central Nervous System	376	0.7526595744680851	0.4601063829787234	1.6597043993625233	0.9810288617458185	0.5653686302850027	-0.4004019835567305
tissue	Pancreas	329	0.6231003039513677	0.3495440729483283	1.678200763011051	0.9822797233172469	0.7244463272134956	-0.6353690831547963
tissue	Skin	327	0.7675840978593272	0.5474006116207951	2.077189395077732	1.2483346880599893	0.6693730467075322	-0.49694100760270843
tissue	Ovary	276	0.8152173913043478	0.5289855072463768	2.021105905676233	1.2015605108840757	0.6184249961653073	-0.4743398782039772
tissue	Large Intestine / Colon	238	0.7857142857142857	0.5462184873949579	2.272146222270837	1.3381359641362642	0.701430820376258	-0.5558956582329083
tissue	Liver	200	0.775	0.51	1.7846927893161775	1.0676122474331695	0.5807606553568818	-0.310211343805047
tissue	Stomach	195	0.717948717948718	0.48205128205128206	1.9684632465778251	1.1911084954311368	0.708806893622797	-0.5561179297064222
tissue	Oesophagus	188	0.8351063829787234	0.5797872340425532	1.9764301975356773	1.186651092716459	0.5952802351558669	-0.4622871288724775
tissue	Urinary Tract	168	0.7738095238095238	0.4523809523809524	1.8533072394984107	1.1197650404549038	0.6492025418708866	-0.47419679394858333
tissue	Bone	149	0.6845637583892618	0.4228187919463087	1.729121332680619	1.0126706183357281	0.6863308146227777	-0.5481984435244134
tissue	Endometrium	132	0.8636363636363636	0.6893939393939394	2.393215190370877	1.3975197554983207	0.5260342233437382	-0.338302428693229
tissue	Soft Tissue	127	0.6929133858267716	0.41732283464566927	1.7236211177870984	1.021572679353692	0.6532988368165799	-0.5442012506387621
tissue	Kidney	120	0.775	0.5	1.7596947657068567	1.0334674567947213	0.5639854096510764	-0.35657463125679933
tissue	Upper Aerodigestive Tract	98	0.6836734693877551	0.4489795918367347	1.732880116968739	1.01911964229205	0.6206130799710503	-0.4720490304280591
tissue	Peripheral Nervous System	94	0.6808510638297872	0.425531914893617	1.4675443923219715	0.8931358861947867	0.5653081609804461	-0.4344706613640982
tissue	Thyroid	63	0.6825396825396826	0.3968253968253968	1.795814185483115	1.0378139877314703	0.7337925519359372	-0.6092952406933326
tissue	Prostate	48	0.75	0.5625	2.226860160877307	1.2960194823010054	0.6966638390146351	-0.60364430325731
tissue	Biliary Tract	16	1.0	0.8125	2.723234147578478	1.58271945280342	0.4644478179221503	-0.3984445618600143
tissue	Uterus	15	0.8666666666666667	0.6	2.0203587222099304	1.1418485691310591	0.5720260260800366	-0.4228677804388512
